,EntAp,EntSamp,Fall
0,0.05390204076676808,0.05024454326645902,1
1,0.021607050505933145,0.01977492738250523,0
2,0.03802334840389321,0.035188732334215114,0
3,0.05045459352912651,0.04368932514815462,0
4,0.17301000094985053,0.1465007252706274,0
5,0.1631986691670151,0.1412070166780224,0
6,0.07538809733855789,0.07204680170107176,0
7,0.058382970087391683,0.04993044247667835,0
8,0.13249691581013856,0.12586105914589765,0
9,0.03212179824494488,0.026851404669421437,0
10,0.061706344223151355,0.05695827082903166,0
11,0.04972889247196344,0.04428035825118968,1
12,0.04218886215544915,0.0370221141686752,0
13,0.10017923192599332,0.09301862039516456,1
14,0.036688339258524216,0.03323427287115181,0
15,0.031926943714759126,0.029665986811673626,0
16,0.13572786595982622,0.11902657939642107,1
17,0.061820485075035236,0.0502441394009577,0
18,0.11545654131107375,0.0994245893687478,0
19,0.08816046167447222,0.07484514270468758,0
20,0.07596143693077817,0.07177264666683604,0
21,0.12685446402599565,0.1168401195953244,0
22,0.1437915931864584,0.13296371054561057,0
23,0.14717140264865103,0.14104789747897556,1
24,0.09102190052415926,0.08395428402383921,0
25,0.07104006591493839,0.06633459857023787,0
26,0.10369664637198639,0.0996066080360904,0
27,0.057501375685078404,0.056381674195665824,0
28,0.12675539832198046,0.11547209722810649,0
29,0.018929263562129428,0.017478913240670465,0
30,0.15570394063726845,0.11220730693467496,0
31,0.11858668635673464,0.10577619814912763,1
32,0.1423758543350062,0.13431071903931038,0
33,0.21718152451259032,0.16622286359567026,0
34,0.06047409634082079,0.05630826125120435,0
35,0.2251811756858655,0.19305806423704644,1
36,0.07363393466195722,0.06696087672478505,0
37,0.040019841371464526,0.03501053519981906,0
38,0.055803490352785534,0.04979769841106636,0
39,0.11480906215331066,0.1077080345519549,0
40,0.05847107469861612,0.050629530361811316,1
41,0.10387867471889134,0.08890208272321914,0
42,0.13201053018537268,0.12343106124309587,0
43,0.06592880880597463,0.06426872511132806,1
44,0.1019898696368875,0.09432036109879445,0
45,0.07518813094625987,0.06890055953959398,0
46,0.1284607556194013,0.11786623527128992,0
47,0.14514330946904108,0.08143639975326412,1
48,0.07261699118280607,0.053372987335476844,0
49,0.12598402868943648,0.11419577475498538,0
50,0.03528513191247651,0.03383083619380597,1
51,0.11257237002833254,0.10671565167291579,0
52,0.08160203279744893,0.0767836454027986,0
53,0.14807710187647372,0.12138876493962747,1
54,0.07858596937433004,0.07453217846160579,1
55,0.07290697415884662,0.06509666925071195,0
56,0.03661297055643997,0.032484369855128654,0
57,0.04939454870476068,0.046876535269348665,1
58,0.0,-0.0,0
59,0.07370499768208072,0.06313621246570145,1
60,0.06755297744747946,0.06068395021567535,1
61,0.1350897975552594,0.11696346785798599,1
62,0.07443627349770088,0.06860911179146094,0
63,0.0500476532082037,0.04673290349848693,1
64,0.031616226327392916,0.02997241276922133,0
65,0.06671392363682038,0.06331850893482018,0
66,0.12493516485871226,0.11343756538438664,0
67,0.08161663885717729,0.07853821194005192,1
68,0.08781150327273224,0.08054260560702295,0
69,0.1093185219980275,0.10566447723863906,0
70,0.0409688170995639,0.03946221341965193,0
71,0.06328438637890166,0.05792391852990591,0
72,0.10883195878237784,0.09040267503724335,0
73,0.16355353336617862,0.13887794060603514,0
74,0.10069193029295898,0.09807786948572038,0
75,0.043472990621015395,0.0415737773766439,0
